Full Name,Brand Name,Rating,Price
Dell Vostro 3468 14-inch Laptop (7th Gen i3/4GB/1TB/Windows 10/Integrated Graphics); Black with Pre-loaded with MS Office,Dell,3.4,30990
Dell Vostro 3468 14-inch Laptop (7th Gen Core i3 - 7100U/4GB/1TB/Ubuntu 14.04/Integrated Graphics),Dell,3.4,24990
Acer Switch 10E SW3-016 10.1-inch Laptop (Atom x5-Z8300/2GB/32GB/Windows 10 Home/Integrated Graphics); Shark Grey,Acer,3.6,11976
Dell Vostro 14 3468 14-inch Laptop (7th Gen Core i5/8GB/1TB/Windows 10 Home/Integrated Graphics); Black,Dell,4.3,41990
HP Notebook - 15 - BY004AX 2017 15.6-inch Laptop (A9/4GB/1TB/DOS/2GB Graphics); Smoke Grey,HP,4.6,23990
Apple MacBook Air MQD32HN/A 13.3-inch Laptop 2017 (Core i5/8GB/128GB/MacOS Sierra/Integrated Graphics),Apple,4.3,52990
Lenovo Ideapad 320E 80XH01GKIN 15.6-inch Laptop (6th Gen Core i3-6006U/4GB/1TB/FreeDOS/Integrated Graphics); Grey,Lenovo,3.5,24990
Lenovo Ideapad 320E 80XH01FHIN 15.6-inch Laptop (6th Gen Core i3-6006U/4GB/1TB/Windows 10/Integrated Graphics); Platinum Grey,Lenovo,3.6,27990
Lenovo 110 -15ACL 15.6-inch Laptop (AMD A8-7410/4GB/1TB/Windows 10 Home/Integrated Graphics); Black,Lenovo,3 o,19990
HP 15q-BU004TU 2017 15.6-inch Laptop (6th Gen Core i3-6006U/4GB/1TB/Free DOS/Integrated Graphics); Grey,HP,3.5,25990
HP 15q- BU005TU 2017 15.6-inch Laptop (Pentium N3710/4GB/1TB/Free DOS/Integrated Graphics); Jet Black,HP,3.5,21528
HP 14q-BU005TU 2017 14-inch Lightweight; Laptop (Core i3-6006U/4GB/1TB/Windows 10/Integrated Graphics); Jet Black,HP,3.9,27990
Acer Aspire 15.6-inch Laptop (7th Gen A4-7210/4GB/1TB/Linux/Integrated Graphics); Midnight Black,Acer,3.3,17990
Lenovo Ideapad 320E 80XL0376IN 15.6-inch Laptop (7th Gen Core i5-7200U/4GB/1TB/FreeDOS/2GB Graphics); Onyx Black,Lenovo,3.6,34990
Lenovo IdeaPad 320-15ISK 80XH01FKIN 15.6-inch Laptop (6th Gen Core i3-6006U/4GB/2TB/Windows 10/Integrated Graphics); Platinum Grey,Lenovo,4 o,30990
Acer Aspire 3 NX.GNTSI.004 15.6-inch Laptop (Pentium N4200/4GB/500GB/Linux/Integrated Graphics); Black,Acer,3.7,16990
Asus S510UN-BQ151T 2017 15.6-inch Laptop (8th Gen Core i7-8550U/8GB/1TB/Windows 10/2GB Graphics); Gold,Asus,-,68450
Acer Aspire 5 -A515-51G Laptop (Core i5 7200u/8GB/1TB/Linux/2 GB Graphics/NVIDIA 940 MX);Black,Acer,4.5,36990
HP 15q-BU008TU 2017 15.6-inch Laptop (Pentium N3710/4GB/500GB/Fast Charge Battery/Windows 10/Integrated Graphics); Sparkling Black,HP,3.5,20990
HP 15-be016TU 15.6-inch Laptop (6th Gen Core i3-6006U/4GB/1TB/FreeDOS 2.0/Integrated Graphics); Turbo Silver,HP,3.6,28990
HP 14q-BU008TU 14-inch HD Laptop (7th Gen Intel Core i5-7200U/4GB DDR4/1TB/Fast Charge Battery/Windows 10 Home/Intel HD Graphics) Grey,HP,3 o,36990
HP 15-BE002TX 15.6-inch Laptop (Core i5 6th Gen/8GB/1TB/Windows 10 Home/2GB Graphics); Turbo Silver,HP,3.7,42990
Acer Aspire 3 A315-51-356P UN.GNPSI.001 15.6-inch Laptop (Core i3-6006U/4GB/1TB/Windows 10/Integrated Graphics); Obsidian Black,Acer,3.4,24990
Dell Vostro 3568 15.6-inch Laptop (7th Gen Core i5-7200/8GB/1TB/Windows 10 Home/2GB Graphics); Black,Dell,3.5,44990
Callas Metal Mesh Monitor/Laptop Stand; Study Table; Desktop Shelf; CA01-1117,Callas,4 o,1499
Samsung original 4GB (1 x 4GB) 204-pin SODIMM LOW VOLTAGE 1.35V ; DDR3 PC3L-12800S; 1600MHz ram memory module for laptops,Samsung,5 o,2199
Style Homez MDF Matte Brown Portable Folding Laptop Table With Drawer,Style Homez,1.4,1299
